signature,beneficiary,mint,amount
3PaeTHERd6dxa95DEjunXL9YVnA8WGKmr7xGtbvM8hUHh9QWeNaEcmVsr8CJwiTeNh9ECf1eUXg2qhGvbGMWBCyf,6zhK4gpohxPyk7fd4nTqWMgqLJVZshivxe7r7G9EdTgf,So11111111111111111111111111111111111111112,5.507399999999524e-05
W1DunC2nBK1oPGNRTbC7XgcX88vcVwYSANwCyKqepRVS8x4rVee38vTKkc4twfa3bFPG4YYjUpP9zGPpJhx35Xk,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,0.00013279100000000016
2ZeAvndtH5CuX83tBALHJ6Xz5qYwULUZyV5GYTi1Jo7G6ej9GpdFttR6VmAkXmeveFrJxyZY1hYyhTkj5Nj4keny,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,0.0006374860000000204
44ATZBUAnubjr9K112irdwzMjx6VqERfBzDjXE7uSpgxjVi7WxLjzEdEjSRsv6PwZowBryZexvokB7c5X9pz9bEZ,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,1.0304000000000042e-05
3aftkVbhmd7dYYPXm4cKTephPvosPX2FbTDaq6TXM9ehEuQjitojjWiHrEWSFhLJjzzmXrty5MPfrMK8eLcTqSAu,CbNMHuRaj6DHDzrEn9qDzJC2yo69rb6sntXGpzjhaCs,So11111111111111111111111111111111111111112,0.00011860000000001036
3oYb8xc6HhqEcYW1aTew5LDGXT8UmQMXuV3Z6gqmbvuBms5PGCFz6MPw4GsZSMMkkiF93uQMKG2romfBJmaBnqio,FQALtCrik9tuae1cqpb5WNBma1VuVNu9UR3hvUDytyzu,So11111111111111111111111111111111111111112,1.2895000000002349e-05
5cmSWAqqKugQCjUVY4i3cnK5WPiKEzdHLcwgMLB9wtE9QdwLjwXLPxiUPmhgwnFEHj8PRqh4N25SpnbFdkpdQVAQ,BP1AyG1dSyRWZkre6umomdJm9HFWvGwJrKDEDbqC3Vmk,So11111111111111111111111111111111111111112,3.6239999999999883e-05
5eGGxrwBY76WgYtasJo6f7UoXtTBPqQXaopqUgLDXb6fQ7NhSaeKZSgLLjLTqvXpvcPoGja8nyLvKYGwvxgeqM4P,FoFmkTLJynxovHtQ3qJVMxCxP1mAT1dQ7Ningcz5YZfw,So11111111111111111111111111111111111111112,3.217999999999971e-05
2ZdpDvPe7PEWuoVNkhie6DJyx3WvJgmwaWavTgYCmq9HJpWcrNJmsrZWQr7soQk3Tr28PBnyesJxhT1M9hKswNnF,FQALtCrik9tuae1cqpb5WNBma1VuVNu9UR3hvUDytyzu,So11111111111111111111111111111111111111112,3.779499999997937e-05
4ShFUy5ebngvGD5oEk9ZvtRAX9tVPDGzcX8eRKxd4WWHLGNqPr2Znaumjh9AhAigHZSJaEjRdAosD5XcFkbEYMxS,8rsn6mzoDnZg6ynLtxAWfnMfoiLdxFhsuXYQenV77cBM,So11111111111111111111111111111111111111112,2.504600000000079e-05
